Task,Domain,Model,Concept,File,Correct
Edit,Literary techniques,Llama-3.3,Haiku,0_9.txt,yes
Edit,Literary techniques,GPT-4o,Haiku,0_1.txt,yes
Edit,Literary techniques,Gemini-2.0,Haiku,0_4.txt,no
Edit,Literary techniques,Claude-Sonnet,Haiku,0_0.txt,yes
Edit,Literary techniques,DeepSeek-V3,Haiku,0_3.txt,yes
Edit,Literary techniques,DeepSeek-R1,Haiku,0_9.txt,no
Edit,Literary techniques,Qwen2-VL,Haiku,0_5.txt,no
Edit,Literary techniques,Llama-3.3,Shakespearean Sonnet,0_0.txt,yes
Edit,Literary techniques,GPT-4o,Shakespearean Sonnet,0_5.txt,no
Edit,Literary techniques,Gemini-2.0,Shakespearean Sonnet,0_2.txt,yes
Edit,Literary techniques,Claude-Sonnet,Shakespearean Sonnet,0_0.txt,yes
Edit,Literary techniques,DeepSeek-V3,Shakespearean Sonnet,0_1.txt,yes
Edit,Literary techniques,DeepSeek-R1,Shakespearean Sonnet,0_6.txt,yes
Edit,Literary techniques,Qwen2-VL,Shakespearean Sonnet,0_9.txt,no
Edit,Literary techniques,Llama-3.3,Analogy,0_9.txt,yes
Edit,Literary techniques,GPT-4o,Analogy,0_4.txt,yes
Edit,Literary techniques,Gemini-2.0,Analogy,0_9.txt,yes
Edit,Literary techniques,Claude-Sonnet,Analogy,0_1.txt,yes
Edit,Literary techniques,DeepSeek-V3,Analogy,0_6.txt,yes
Edit,Literary techniques,DeepSeek-R1,Analogy,0_5.txt,no
Edit,Literary techniques,Qwen2-VL,Analogy,0_8.txt,no
Edit,Literary techniques,Llama-3.3,Paradox,0_1.txt,yes
Edit,Literary techniques,GPT-4o,Paradox,0_9.txt,yes
Edit,Literary techniques,Gemini-2.0,Paradox,0_2.txt,no
Edit,Literary techniques,Claude-Sonnet,Paradox,0_1.txt,yes
Edit,Literary techniques,DeepSeek-V3,Paradox,0_8.txt,yes
Edit,Literary techniques,DeepSeek-R1,Paradox,0_9.txt,yes
Edit,Literary techniques,Qwen2-VL,Paradox,0_0.txt,yes
Edit,Literary techniques,Llama-3.3,Anacoluthon,0_6.txt,yes
Edit,Literary techniques,GPT-4o,Anacoluthon,0_1.txt,no
Edit,Literary techniques,Gemini-2.0,Anacoluthon,0_7.txt,no
Edit,Literary techniques,Claude-Sonnet,Anacoluthon,0_9.txt,no
Edit,Literary techniques,DeepSeek-V3,Anacoluthon,0_0.txt,no
Edit,Literary techniques,DeepSeek-R1,Anacoluthon,0_2.txt,no
Edit,Literary techniques,Qwen2-VL,Anacoluthon,0_5.txt,no
Edit,Literary techniques,Llama-3.3,Asyndeton,0_0.txt,yes
Edit,Literary techniques,GPT-4o,Asyndeton,0_3.txt,yes
Edit,Literary techniques,Gemini-2.0,Asyndeton,0_3.txt,yes
Edit,Literary techniques,Claude-Sonnet,Asyndeton,0_1.txt,no
Edit,Literary techniques,DeepSeek-V3,Asyndeton,0_4.txt,yes
Edit,Literary techniques,DeepSeek-R1,Asyndeton,0_3.txt,yes
Edit,Literary techniques,Qwen2-VL,Asyndeton,0_8.txt,yes
Edit,Literary techniques,Llama-3.3,Hyperbaton,0_4.txt,no
Edit,Literary techniques,GPT-4o,Hyperbaton,0_6.txt,no
Edit,Literary techniques,Gemini-2.0,Hyperbaton,0_5.txt,yes
Edit,Literary techniques,Claude-Sonnet,Hyperbaton,0_7.txt,yes
Edit,Literary techniques,DeepSeek-V3,Hyperbaton,0_1.txt,no
Edit,Literary techniques,DeepSeek-R1,Hyperbaton,0_3.txt,no
Edit,Literary techniques,Qwen2-VL,Hyperbaton,0_0.txt,yes
Edit,Literary techniques,Llama-3.3,Synesis,0_8.txt,no
Edit,Literary techniques,GPT-4o,Synesis,0_3.txt,yes
Edit,Literary techniques,Gemini-2.0,Synesis,0_7.txt,yes
Edit,Literary techniques,Claude-Sonnet,Synesis,0_8.txt,no
Edit,Literary techniques,DeepSeek-V3,Synesis,0_9.txt,no
Edit,Literary techniques,DeepSeek-R1,Synesis,0_4.txt,no
Edit,Literary techniques,Qwen2-VL,Synesis,0_2.txt,no
Edit,Literary techniques,Llama-3.3,Accismus,0_6.txt,no
Edit,Literary techniques,GPT-4o,Accismus,0_5.txt,yes
Edit,Literary techniques,Gemini-2.0,Accismus,0_1.txt,yes
Edit,Literary techniques,Claude-Sonnet,Accismus,0_9.txt,yes
Edit,Literary techniques,DeepSeek-V3,Accismus,0_0.txt,yes
Edit,Literary techniques,DeepSeek-R1,Accismus,0_5.txt,yes
Edit,Literary techniques,Qwen2-VL,Accismus,0_0.txt,yes
Edit,Literary techniques,Llama-3.3,Slant Rhyme,0_7.txt,no
Edit,Literary techniques,GPT-4o,Slant Rhyme,0_4.txt,yes
Edit,Literary techniques,Gemini-2.0,Slant Rhyme,0_5.txt,yes
Edit,Literary techniques,Claude-Sonnet,Slant Rhyme,0_6.txt,no
Edit,Literary techniques,DeepSeek-V3,Slant Rhyme,0_6.txt,yes
Edit,Literary techniques,DeepSeek-R1,Slant Rhyme,0_0.txt,yes
Edit,Literary techniques,Qwen2-VL,Slant Rhyme,0_2.txt,yes
Edit,Literary techniques,Llama-3.3,Enthymeme,0_3.txt,yes
Edit,Literary techniques,GPT-4o,Enthymeme,0_1.txt,yes
Edit,Literary techniques,Gemini-2.0,Enthymeme,0_7.txt,yes
Edit,Literary techniques,Claude-Sonnet,Enthymeme,0_2.txt,yes
Edit,Literary techniques,DeepSeek-V3,Enthymeme,0_2.txt,yes
Edit,Literary techniques,DeepSeek-R1,Enthymeme,0_5.txt,no
Edit,Literary techniques,Qwen2-VL,Enthymeme,0_2.txt,yes
Edit,Literary techniques,Llama-3.3,Anapest,0_5.txt,yes
Edit,Literary techniques,GPT-4o,Anapest,0_3.txt,yes
Edit,Literary techniques,Gemini-2.0,Anapest,0_2.txt,yes
Edit,Literary techniques,Claude-Sonnet,Anapest,0_9.txt,yes
Edit,Literary techniques,DeepSeek-V3,Anapest,0_4.txt,yes
Edit,Literary techniques,DeepSeek-R1,Anapest,0_3.txt,no
Edit,Literary techniques,Qwen2-VL,Anapest,0_1.txt,yes
Edit,Psychological biases,Llama-3.3,Fundamental Attribution Error,0_4.txt,yes
Edit,Psychological biases,GPT-4o,Fundamental Attribution Error,0_0.txt,yes
Edit,Psychological biases,Gemini-2.0,Fundamental Attribution Error,0_4.txt,yes
Edit,Psychological biases,Claude-Sonnet,Fundamental Attribution Error,0_4.txt,yes
Edit,Psychological biases,DeepSeek-V3,Fundamental Attribution Error,0_7.txt,yes
Edit,Psychological biases,DeepSeek-R1,Fundamental Attribution Error,0_1.txt,no
Edit,Psychological biases,Qwen2-VL,Fundamental Attribution Error,0_5.txt,no
Edit,Psychological biases,Llama-3.3,Demanding Bias,0_1.txt,yes
Edit,Psychological biases,GPT-4o,Demanding Bias,0_3.txt,yes
Edit,Psychological biases,Gemini-2.0,Demanding Bias,0_3.txt,yes
Edit,Psychological biases,Claude-Sonnet,Demanding Bias,0_3.txt,no
Edit,Psychological biases,DeepSeek-V3,Demanding Bias,0_4.txt,yes
Edit,Psychological biases,DeepSeek-R1,Demanding Bias,0_2.txt,yes
Edit,Psychological biases,Qwen2-VL,Demanding Bias,0_3.txt,no
Edit,Psychological biases,Llama-3.3,Black and White Thinking,0_6.txt,yes
Edit,Psychological biases,GPT-4o,Black and White Thinking,0_0.txt,yes
Edit,Psychological biases,Gemini-2.0,Black and White Thinking,0_1.txt,yes
Edit,Psychological biases,Claude-Sonnet,Black and White Thinking,0_1.txt,yes
Edit,Psychological biases,DeepSeek-V3,Black and White Thinking,0_0.txt,yes
Edit,Psychological biases,DeepSeek-R1,Black and White Thinking,0_6.txt,no
Edit,Psychological biases,Qwen2-VL,Black and White Thinking,0_3.txt,yes
Edit,Psychological biases,Llama-3.3,Sunk Cost Fallacy,0_2.txt,yes
Edit,Psychological biases,GPT-4o,Sunk Cost Fallacy,0_2.txt,no
Edit,Psychological biases,Gemini-2.0,Sunk Cost Fallacy,0_7.txt,no
Edit,Psychological biases,Claude-Sonnet,Sunk Cost Fallacy,0_1.txt,yes
Edit,Psychological biases,DeepSeek-V3,Sunk Cost Fallacy,0_5.txt,yes
Edit,Psychological biases,DeepSeek-R1,Sunk Cost Fallacy,0_1.txt,yes
Edit,Psychological biases,Qwen2-VL,Sunk Cost Fallacy,0_5.txt,no
Edit,Psychological biases,Llama-3.3,IKEA Effect,0_0.txt,yes
