Task,Domain,Model,Concept,File,Correct
Define,Literary techniques,Llama-3.3,Haiku,0.txt,yes
Define,Literary techniques,GPT-4o,Haiku,0.txt,yes
Define,Literary techniques,GPT-4.5,Haiku,0.txt,yes
Define,Literary techniques,O3-Mini,Haiku,0.txt,yes
Define,Literary techniques,O1-Mini,Haiku,0.txt,yes
Define,Literary techniques,Gemini-2.0,Haiku,0.txt,yes
Define,Literary techniques,Claude-Sonnet,Haiku,0.txt,yes
Define,Literary techniques,Mistral-Instruct,Haiku,0.txt,yes
Define,Literary techniques,DeepSeek-V3,Haiku,0.txt,yes
Define,Literary techniques,DeepSeek-R1,Haiku,0.txt,yes
Define,Literary techniques,Qwen2-VL,Haiku,0.txt,yes
Define,Literary techniques,Llama-3.3,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,GPT-4o,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,GPT-4.5,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,O3-Mini,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,O1-Mini,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,Gemini-2.0,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,Claude-Sonnet,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,Mistral-Instruct,Shakespearean Sonnet,0.txt,no
Define,Literary techniques,DeepSeek-V3,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,DeepSeek-R1,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,Qwen2-VL,Shakespearean Sonnet,0.txt,yes
Define,Literary techniques,Llama-3.3,Analogy,0.txt,yes
Define,Literary techniques,GPT-4o,Analogy,0.txt,yes
Define,Literary techniques,GPT-4.5,Analogy,0.txt,yes
Define,Literary techniques,O3-Mini,Analogy,0.txt,yes
Define,Literary techniques,O1-Mini,Analogy,0.txt,yes
Define,Literary techniques,Gemini-2.0,Analogy,0.txt,yes
Define,Literary techniques,Claude-Sonnet,Analogy,0.txt,yes
Define,Literary techniques,Mistral-Instruct,Analogy,0.txt,yes
Define,Literary techniques,DeepSeek-V3,Analogy,0.txt,yes
Define,Literary techniques,DeepSeek-R1,Analogy,0.txt,yes
Define,Literary techniques,Qwen2-VL,Analogy,0.txt,yes
Define,Literary techniques,Llama-3.3,Paradox,0.txt,yes
Define,Literary techniques,GPT-4o,Paradox,0.txt,yes
Define,Literary techniques,GPT-4.5,Paradox,0.txt,yes
Define,Literary techniques,O3-Mini,Paradox,0.txt,yes
Define,Literary techniques,O1-Mini,Paradox,0.txt,yes
Define,Literary techniques,Gemini-2.0,Paradox,0.txt,yes
Define,Literary techniques,Claude-Sonnet,Paradox,0.txt,yes
Define,Literary techniques,Mistral-Instruct,Paradox,0.txt,yes
Define,Literary techniques,DeepSeek-V3,Paradox,0.txt,yes
Define,Literary techniques,DeepSeek-R1,Paradox,0.txt,yes
Define,Literary techniques,Qwen2-VL,Paradox,0.txt,yes
Define,Literary techniques,Llama-3.3,Anacoluthon,0.txt,yes
Define,Literary techniques,GPT-4o,Anacoluthon,0.txt,yes
Define,Literary techniques,GPT-4.5,Anacoluthon,0.txt,yes
Define,Literary techniques,O3-Mini,Anacoluthon,0.txt,yes
Define,Literary techniques,O1-Mini,Anacoluthon,0.txt,yes
Define,Literary techniques,Gemini-2.0,Anacoluthon,0.txt,yes
Define,Literary techniques,Claude-Sonnet,Anacoluthon,0.txt,yes
